Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.1875	 Loss: 0.3425505459308624
Step: 16384	Mean reward: 4.15625	 Loss: 0.08414644747972488
Step: 24576	Mean reward: 5.5	 Loss: 0.14072895050048828
Step: 32768	Mean reward: 5.34375	 Loss: 0.1259811818599701
Step: 40960	Mean reward: 6.1875	 Loss: 0.09552721679210663
Step: 49152	Mean reward: 6.3125	 Loss: 0.07815936207771301
Step: 57344	Mean reward: 6.0625	 Loss: 0.14880669116973877
Step: 65536	Mean reward: 5.8125	 Loss: 0.093564473092556
Step: 73728	Mean reward: 7.5	 Loss: 0.0901172086596489
Step: 81920	Mean reward: 8.375	 Loss: 0.13346004486083984
Step: 90112	Mean reward: 8.25	 Loss: 0.16878138482570648
Step: 98304	Mean reward: 8.71875	 Loss: 0.08555106818675995
Step: 106496	Mean reward: 7.90625	 Loss: 0.16193993389606476
Step: 114688	Mean reward: 6.6875	 Loss: 0.11260524392127991
Step: 122880	Mean reward: 7.09375	 Loss: 0.06119830533862114
Step: 131072	Mean reward: 8.875	 Loss: 0.022533029317855835
Step: 139264	Mean reward: 9.15625	 Loss: 0.1817655861377716
Step: 147456	Mean reward: 8.75	 Loss: 0.04176340252161026
Step: 155648	Mean reward: 7.71875	 Loss: 0.12201141566038132
Step: 163840	Mean reward: 8.375	 Loss: 0.03416624665260315
Step: 172032	Mean reward: 9.34375	 Loss: -0.003430170938372612
Step: 180224	Mean reward: 9.0625	 Loss: 0.0453711673617363
Step: 188416	Mean reward: 8.71875	 Loss: 0.0637386217713356
Step: 196608	Mean reward: 8.78125	 Loss: 0.016097024083137512
Step: 204800	Mean reward: 8.4375	 Loss: 0.1002955287694931
Step: 212992	Mean reward: 8.375	 Loss: 0.10253079980611801
Step: 221184	Mean reward: 9.625	 Loss: 0.07417771965265274
Step: 229376	Mean reward: 9.375	 Loss: 0.14454448223114014
Step: 237568	Mean reward: 7.5	 Loss: 0.0839596837759018
Step: 245760	Mean reward: 8.3125	 Loss: 0.09314828366041183
Step: 253952	Mean reward: 9.375	 Loss: 0.023815330117940903
Step: 262144	Mean reward: 8.65625	 Loss: 0.0028426703065633774
Step: 270336	Mean reward: 8.59375	 Loss: 0.10765258967876434
Step: 278528	Mean reward: 9.65625	 Loss: 0.06877468526363373
Step: 286720	Mean reward: 10.40625	 Loss: 0.08902807533740997
Step: 294912	Mean reward: 10.21875	 Loss: 0.07377544045448303
Step: 303104	Mean reward: 10.1875	 Loss: 0.1294732242822647
Step: 311296	Mean reward: 10.15625	 Loss: 0.017004800960421562
Step: 319488	Mean reward: 10.53125	 Loss: 0.03945399075746536
Step: 327680	Mean reward: 11.71875	 Loss: 0.06639723479747772
